自动序号,时间段(分钟),短句话术,冷场补救,长段话术,政策口径,场景,主题/异议,是否推荐,创建时间,更新时间,标题,关键词,直播间商品序号,父记录,提问类型,提问,回答,家装建材
66,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们怕选错很正常，我给你一个最稳的操作：先别急着装，收到货先通电看色温和亮度，满意再装；不满意7天内按平台规则走（安装后不支持）。你现在装客厅还是卧室？公屏打一下我帮你先把方向定了。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕选错先说退换规则,,2026/02/26,2026/02/27,开场｜怕选错先说退换规则,"开场,怕选错,退换,安装后不支持,7天,先确认",,,,,,
67,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们装完不舒服这事儿真不稀奇，所以咱们别赌运气：到货先试光——看刺不刺眼、亮度够不够、颜色喜不喜欢，确认OK再安装。你公屏回我【房间+面积+层高】，我先帮你把色温和出光选对。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕装完不舒服先说测试,,2026/02/26,2026/02/27,开场｜怕装完不舒服先说测试,"开场,怕装完不舒服,测试,先试后装,到好确认",,,,,,
68,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们钱别白花，咱按预算做最省的买法：你给我个区间【200-300/300-500/500+】我给你两套——够用款和舒服款。你对比完再下单，别冲动。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕钱白花先说按预算配,,2026/02/26,2026/02/27,开场｜怕钱白花先说按预算配,"开场,怕钱白花,按预算,性价比,更省,预算足够",,,,,,
69,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们参数我给你翻译成一句话：看显色（餐厨更重要）、看防眩（客厅沙发位更重要）、看质保（用得久更重要）。你装哪间房？公屏打【客厅/卧室/餐厅】我把重点给你拎出来。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕看着便宜先说参数透明,,2026/02/26,2026/02/27,开场｜怕看着便宜先说参数透明,"开场,怕看着便宜,参数透明,质保,用料做工,舒适度",,,,,,
70,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们图片只能参考，真正住起来舒服不舒服看光。你把你家墙面颜色（白/灰/木色）+房间用途发我，我帮你把色温定准，别买回去发现“看着不对劲”。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕只看图片先说实际效果,,2026/02/26,2026/02/27,开场｜怕只看图片先说实际效果,"开场,怕只看图片,实际效果,避坑,只看图,不靠感觉",,,,,,
71,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们安装这块我再强调一次：一定先断电，孔位对不对先量清楚，拿不准就找电工更安全。你拍一下原灯底盘/孔距/线头，我先帮你判断是直接替换还是要改孔。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕安装失误先说步骤,,2026/02/26,2026/02/27,开场｜怕安装失误先说步骤,"开场,怕安装失误,步骤,对孔位,对线色,电工",,,,,,
72,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们省电这块别被“瓦数”吓到，关键是你家用在哪儿、开灯多久。你是客厅常开还是卧室偶尔开？公屏打一下，我按使用频率给你推荐更省电又够亮的搭配。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕费电、怕灯不亮、还是怕寿命不长？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按节能需求讲,,2026/02/26,2026/02/27,留人｜按节能需求讲,"留人,节能,省钱,省电,寿命,省心",,,,,,
73,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们餐厨显色很关键，不然菜看着发灰、肉看着没食欲。你家是装厨房还是餐厅？公屏打【厨房/餐厅+面积】我告诉你显色和色温怎么配更真实。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕刺眼、还是怕显色不好让食物看着没食欲？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按显指需求讲,,2026/02/26,2026/02/27,留人｜按显指需求讲,"留人,显指,显色,餐厨,颜色,还原",,,,,,
74,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们灯想用得久，别光看外观：稳定性、散热、做工才是关键。咱们这边质保3年，你用着有问题直接找我处理。你现在更在意“耐用”还是“氛围”？我按需求给你推荐。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕用几年就坏、怕经常换灯，还是怕光慢慢变暗？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按寿命讲,,2026/02/26,2026/02/27,留人｜按寿命讲,"留人,寿命,用久,耐用,省钱,省心",,,,,,
75,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们外观好看当然重要，但别只看造型：要看装上去会不会压层高、会不会晃眼。你家层高大概多少？公屏打【2.6/2.8/3.0】我帮你判断选贴顶还是做氛围更合适。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕刺眼，还是怕灯的线条和造型不好看？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按外观讲,,2026/02/26,2026/02/27,留人｜按外观讲,"留人,外观,造型,线条,简约,质感",,,,,,
76,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们光斑这块很影响高级感：光斑太小像“打手电”，太散又没重点。你是想整体照明还是重点照画/柜？公屏打【整体/重点】，我把筒射/射灯怎么选给你讲明白。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕刺眼，还是怕光斑太小或者不均匀？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按光斑讲,,2026/02/26,2026/02/27,留人｜按光斑讲,"留人,光斑,照射,整体,柔和,均匀",,,,,,
77,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们眩光难受这事儿，坐沙发/躺床最明显。你记住一句：别让灯直射你的眼睛。你家主要是沙发位晃还是床上晃？公屏打【沙发/床】，我教你选防眩更舒服。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕不够省电，还是怕光太亮直射眼睛刺眼？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按眩光讲,,2026/02/26,2026/02/27,留人｜按眩光讲,"留人,眩光,刺眼,出光方式,漫反射,避免",,,,,,
78,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们怕闪眼就按这个来：到货先通电试一下，看手机拍视频有没有“条纹闪”，感觉不舒服先别装。你告诉我装哪间房，我把色温和出光给你先配好，降低踩坑概率。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕光闪眼不舒服？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按频闪讲,,2026/02/26,2026/02/27,留人｜按频闪讲,"留人,频闪,晃眼,稳定,安心,测试",,,,,,
79,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们灯光不均匀最影响体验：明一块暗一块，人一走动还会有阴影。你家是客厅还是走廊？面积多少？公屏打出来，我给你一个“数量+间距”的思路，别装完再返工。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕灯的光不够均匀，明一块暗一块？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按灯光均匀度讲,,2026/02/26,2026/02/27,留人｜按灯光均匀度讲,"留人,灯光均匀度,整体,氛围,省心,舒服",,,,,,
80,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们想要氛围感，其实就两件事：色温别太白、光别太硬。你是想“温馨放松”还是“清爽高级”？公屏打【温馨/清爽】，我按你家风格给你配灯型和色温。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕灯氛围感不好，没有那种温馨浪漫的感觉？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按氛围感讲,,2026/02/26,2026/02/27,留人｜按氛围感讲,"留人,氛围感,温馨,浪漫,有情调,省心",,,,,,
81,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们这条我说句实在的：灯选百搭，就等于装修“留后路”。你以后换沙发、换窗帘、换风格都不怕翻车。你家现在偏【现代/奶油/原木/轻奢】哪种？公屏打一下，我把更稳的色温也给你顺手定了。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕灯不百搭，以后换装修/换风格就不好看？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按百搭性讲,,2026/02/26,2026/02/27,留人｜按百搭性讲,"留人,百搭,通用,不过时,换风格,省心",,,,,,
82,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们我插一句生活小经验：灯好不好打理，住进去你就知道了。怕积灰的，尽量选线条简洁、容易擦的。你家是厨房油烟多，还是客厅灰尘多？公屏打【厨房/客厅】，我按位置给你选更省心的。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕灯上积灰难清理？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按易清洁讲,,2026/02/26,2026/02/27,留人｜按易清洁讲,"留人,易清洁,灰尘,打理,省心,吸顶",,,,,,
83,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们安装这事儿别自己吓自己，很多灯就是“对孔位+接线+固定”。你拍一下原灯底盘和孔距，我先帮你判断能不能直接替换、要不要加固，心里有数再下单。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕安装复杂、要找电工？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按易安装讲,,2026/02/26,2026/02/27,留人｜按易安装讲,"留人,易安装,步骤,对孔位,电工,简单",,,,,,
84,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们选灯最省心的办法就是：别让自己当工程师。你只要给我【房间+面积+层高+你喜欢清爽还是温馨】，我直接把灯型和色温给你对号入座，省你做功课。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕选灯麻烦、要自己做功课？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按省心程度讲,,2026/02/26,2026/02/27,留人｜按省心程度讲,"留人,省心程度,省心,不麻烦,靠谱,省事",,,,,,
85,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们售后这块我先说在前面：到货先开箱检查、通电试一下，确认没问题再安装；平台7天无理由退换（安装后不支持），咱们按流程来最省心。有疑问直接拍图发我。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕售后麻烦、退换规则不清楚？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按售后方便讲,,2026/02/26,2026/02/27,留人｜按售后方便讲,"留人,售后方便,7天,质保,规则,省心",,,,,,
86,10-30,别划走，你把房间用途、面积、层高发我，我按你家情况帮你配。,家人们买灯最怕用两年出问题，所以质保一定要问清楚。咱们这边质保3年，有问题你先找我，别自己硬扛。你现在最担心的是【不亮/刺眼/安装】哪一块？打在公屏我先解决你最卡的。,家人你刚进来别急着划走，小苏帮你省时间：你只要回我三个信息——房间用途、面积、层高，我就能把你适合吸顶还是吊灯、建议亮度、色温范围给你配好。参数你不用记，我来给你翻译成人话。你现在更在意哪种：怕不够亮、怕寿命不长，还是怕没有质保、用起来不安心？打在公屏我优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,留人,按质保讲,,2026/02/26,2026/02/27,留人｜按质保讲,"留人,质保,3年,安心,靠谱,省心",,,,,,
87,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们冷场我就讲个“下单前最稳的动作”：先收藏别急拍，回我【房间+面积+层高】，我把尺寸和色温先给你核对好，合适你再拍，省得来回折腾。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕装完不舒服先说测试,,2026/02/26,2026/02/27,开场｜怕装完不舒服先说测试,"开场,怕装完不舒服,测试,先试后装,到好确认",,,,,,
88,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们预算这块你给我个区间就行：200-300 / 300-500 / 500+。我按预算给你两套——够用款和更舒服款，你对比完再下单，别冲动消费。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕钱白花先说按预算配,,2026/02/26,2026/02/27,开场｜怕钱白花先说按预算配,"开场,怕钱白花,按预算,性价比,更省,预算足够",,,,,,
89,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们参数别看一堆字，记住三件事就够：显色（看东西真不真）、防眩（晃不晃眼）、质保（用得久不久）。你装哪间房？公屏打【客厅/卧室/餐厨】，我把重点给你拎出来。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕看着便宜先说参数透明,,2026/02/26,2026/02/27,开场｜怕看着便宜先说参数透明,"开场,怕看着便宜,参数透明,质保,用料做工,舒适度",,,,,,
90,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们图片只能参考，住起来舒服看“光”的感觉。你家墙面偏白还是偏灰？公屏打【白/灰】，我告诉你色温怎么选更耐看，别买回去发现灯色不对。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕只看图片先说实际效果,,2026/02/26,2026/02/27,开场｜怕只看图片先说实际效果,"开场,怕只看图片,实际效果,避坑,只看图,不靠感觉",,,,,,
91,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们安装我必须提醒一句：一定先断电，能找电工就找电工更安全。你担心装不装得上，就拍原灯底盘+孔距给我，我先帮你判断难度。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕安装失误先说步骤,,2026/02/26,2026/02/27,开场｜怕安装失误先说步骤,"开场,怕安装失误,步骤,对孔位,对线色,电工",,,,,,
92,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们风格不搭这事儿最常见。你家是偏【现代/奶油/原木/轻奢】？公屏打一下，我按风格给你推荐更百搭的颜色和色温，装完才不会“怪怪的”。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕装修风格不搭先说百搭,,2026/02/26,2026/02/27,开场｜怕装修风格不搭先说百搭,"开场,怕不搭,百搭,换风格,不过时,省心",,,,,,
93,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们怕不够亮别靠猜，按面积更稳。你家客厅/卧室多少平？公屏打【面积+层高】，我给你一个“够亮不浪费”的建议。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕灯不够亮先说按需配光,,2026/02/26,2026/02/27,开场｜怕灯不够亮先说按需配光,"开场,怕不够亮,按需配光,亮度,客厅,卧室",,,,,,
94,0-10,家人们好，我是小苏！你把客厅/卧室/餐厅+面积+层高发我，我直接给你配灯。,家人们怕灯光太冷很正常，卧室建议暖一点更放松，客厅想清爽可以自然一点但别刺眼。你装哪间房？打在公屏我把色温范围直接给你定。,家人们好，我是小苏。今天我按你家房间用途、面积、层高给你配灯，省你做功课。客厅更看重通透和层次、卧室更看重舒适不刺眼、餐厅更看重显色让饭菜看着更有食欲。你把房间用途和大概面积发我，我按你家场景给你推荐，别花冤枉钱。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕灯光太冷先说按场景调温,,2026/02/26,2026/02/27,开场｜怕灯光太冷先说按场景调温,"开场,怕太冷,按场景调温,色温,卧室偏暖,客厅偏白",,,,,,
95,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们安装费怕不透明的，你别急着下单：拍一张现场（灯位/吊顶/孔距）给我，我先告诉你大概率是直接替换还是要改孔加固，心里有数再拍。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕安装费用高先说透明报价,,2026/02/26,2026/02/27,开场｜怕安装费用高先说透明报价,"开场,怕费用高,透明报价,成本,安装费,电工费",,,,,,
96,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们质量这块我给你一句安心话：别只看外观，稳定性和做工更重要。咱们质保3年，后面有问题先找我处理。你更在意【耐用/氛围/亮度】哪一个？公屏打出来我按重点给你配。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕质量不稳先说质保和做工,,2026/02/26,2026/02/27,开场｜怕质量不稳先说质保和做工,"开场,怕不稳,质保和做工,3年,用料做工,稳定",,,,,,
97,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们筒射这类最怕开孔不对，装不上就尴尬。你家有没有开孔？孔径大概多少？公屏打【7.5/9/10】我先帮你把“能不能装”确认了，再谈怎么买最稳。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕开孔尺寸不对先说确认孔位,,2026/02/26,2026/02/27,开场｜怕开孔尺寸不对先说确认孔位,"开场,怕孔位不对,确认孔位,筒射,开孔尺寸,对孔",,,,,,
98,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们接线别怕，但一定要找专业的、先断电。线色不确定的，拍清楚给我，我先帮你判断怎么对线更稳，别自己硬接。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕线色不匹配先说对线色,,2026/02/26,2026/02/27,开场｜怕线色不匹配先说对线色,"开场,怕线色不匹配,对线色,换灯,布线,颜色",,,,,,
99,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们尺寸不合适是最浪费时间的，所以你下单前把【安装位置长度/宽度/层高】量一下，不想量的拍个视频给我，我按你家位置帮你判断选多大更合适。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕尺寸不合适先说先测后装,,2026/02/26,2026/02/27,开场｜怕尺寸不合适先说先测后装,"开场,怕尺寸不合适,先测后装,尺寸,长度,高度",,,,,,
100,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们层高低的家最怕“压”，所以贴顶/吸顶更友好。你家层高大概多少？公屏打【2.6/2.8/3.0】，我告诉你选贴顶还是做氛围更舒服。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕层高过低先说吸顶更合适,,2026/02/26,2026/02/27,开场｜怕层高过低先说吸顶更合适,"开场,怕层高低,吸顶更合适,层高,吊灯,下吊",,,,,,
101,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们层高够的家真的别浪费，吊灯一做氛围感立马出来。你家层高大概多少？公屏打【2.6/2.8/3.0】我帮你判断“吊多长不压头”。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕层高够高先说吊灯氛围感,,2026/02/26,2026/02/27,开场｜怕层高够高先说吊灯氛围感,"开场,怕层高够,吊灯氛围,层高,下吊,层次",,,,,,
102,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们餐厨这块我插一句：显色不行，菜色就发灰。你装厨房还是餐厅？公屏打【厨房/餐厅+面积】，我告诉你显色和色温怎么选更真实。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕显指不够先说餐厨要高显指,,2026/02/26,2026/02/27,开场｜怕显指不够先说餐厨要高显指,"开场,怕显指不够,餐厨,显指高,显色好,还原",,,,,,
103,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们想要“看着就舒服”，尽量选接近自然光、显色更真实的。你家墙面是白墙还是偏灰？公屏打【白/灰】，我帮你把色温定准。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕显色太假先说接近自然光,,2026/02/26,2026/02/27,开场｜怕显色太假先说接近自然光,"开场,怕显色假,接近自然光,显色,颜色,还原",,,,,,
104,0-10,家人们好，我是小苏！先点关注不迷路，今天我边讲避坑边给你算最省心的搭配。,家人们担心频闪的，别硬装：到货先通电试一下，手机拍视频看有没有条纹闪，舒服再装。你装哪间房？打出来我先把色温给你配好。,家人们好，我是小苏。新来的先点个关注不迷路，今天这场我先按客厅/卧室/餐厅帮你把选灯思路讲清楚，再做一轮回购福利。没来得及问的家人别着急，回放你随时能看，有什么问题打在公屏我下次优先解答。,质保3年；平台7天无理由退换（安装后不支持）。,开场,怕频闪明显先说先测再装,,2026/02/26,2026/02/27,开场｜怕频闪明显先说先测再装,"开场,怕频闪明显,先测再装,测试,稳定,不晃眼",,,,,,
